iter	Passed	Remaining
411	3710	5295
412	3718	5285
413	3727	5276
414	3736	5266
415	3746	5258
416	3754	5249
417	3764	5241
418	3773	5231
419	3782	5223
420	3791	5215
421	3799	5204
422	3809	5196
423	3817	5185
424	3826	5176
425	3833	5165
426	3842	5156
427	3849	5144
428	3858	5135
429	3865	5124
430	3875	5115
431	3882	5104
432	3891	5096
433	3899	5085
434	3908	5077
435	3917	5067
436	3925	5057
437	3933	5047
438	3943	5039
439	3953	5031
440	3962	5022
441	3971	5014
442	3980	5004
443	3990	4997
444	4002	4991
445	4011	4983
446	4021	4975
447	4032	4968
448	4041	4960
449	4050	4950
450	4060	4942
451	4067	4931
452	4076	4922
453	4085	4913
454	4095	4905
455	4102	4894
456	4111	4885
457	4118	4874
458	4127	4865
459	4134	4854
460	4144	4845
461	4157	4840
462	4166	4832
463	4176	4824
464	4184	4814
465	4194	4806
466	4203	4797
467	4213	4789
468	4222	4780
469	4230	4770
470	4238	4760
471	4246	4750
472	4255	4741
473	4264	4732
474	4274	4724
475	4281	4713
476	4290	4704
477	4298	4694
478	4307	4685
479	4315	4675
480	4325	4666
481	4335	4659
482	4342	4648
483	4353	4641
484	4360	4630
485	4369	4621
486	4378	4612
487	4387	4603
488	4395	4593
489	4404	4583
490	4412	4573
491	4420	4564
492	4427	4553
493	4436	4544
494	4444	4534
495	4453	4525
496	4461	4515
497	4470	4506
498	4479	4497
499	4487	4487
500	4495	4477
501	4505	4469
502	4516	4462
503	4526	4455
504	4537	4447
505	4548	4440
506	4558	4432
507	4568	4424
508	4577	4415
509	4586	4406
510	4595	4397
511	4604	4388
512	4613	4379
513	4622	4370
514	4631	4361
515	4639	4352
516	4648	4343
517	4656	4332
518	4665	4323
519	4673	4313
520	4682	4305
521	4690	4295
522	4700	4287
523	4709	4278
524	4718	4268
525	4728	4260
526	4736	4250
527	4746	4242
528	4754	4233
529	4765	4226
530	4775	4217
531	4783	4207
532	4792	4198
533	4799	4188
534	4808	4179
535	4815	4168
536	4824	4159
537	4833	4150
538	4842	4141
539	4849	4131
540	4859	4123
541	4867	4113
542	4876	4104
543	4884	4094
544	4896	4087
545	4907	4080
546	4915	4070
547	4927	4064
548	4938	4057
549	4947	4047
550	4959	4041
551	4968	4032
552	4980	4025
553	4992	4019
554	5003	4011
555	5012	4002
556	5024	3996
557	5035	3988
558	5044	3979
559	5057	3973
560	5070	3967
561	5081	3960
562	5093	3953
563	5106	3947
564	5118	3940
565	5126	3931
566	5138	3924
567	5152	3918
568	5164	3911
569	5176	3904
570	5188	3898
571	5200	3891
572	5211	3883
573	5222	3875
574	5233	3868
575	5244	3860
576	5255	3852
577	5267	3845
578	5279	3838
579	5287	3829
580	5300	3822
581	5312	3815
582	5320	3805
583	5333	3799
584	5346	3792
585	5354	3783
586	5366	3775
587	5376	3767
588	5383	3756
589	5394	3748
590	5402	3738
591	5412	3730
592	5424	3722
593	5431	3712
594	5442	3704
595	5450	3694
596	5460	3685
597	5468	3675
598	5476	3666
599	5483	3655
600	5494	3647
601	5501	3637
602	5511	3628
603	5520	3619
604	5529	3609
605	5539	3601
606	5547	3591
607	5556	3582
608	5564	3572
609	5576	3565
610	5586	3556
611	5594	3547
612	5604	3538
613	5612	3528
614	5622	3519
615	5632	3510
616	5641	3502
617	5650	3492
618	5657	3482
619	5668	3473
620	5676	3464
621	5684	3454
622	5691	3444
623	5700	3435
624	5708	3425
625	5716	3415
626	5725	3405
627	5735	3397
628	5743	3387
629	5752	3378
630	5760	3368
631	5770	3359
632	5777	3349
633	5786	3340
634	5794	3330
635	5803	3321
636	5814	3313
637	5822	3303
638	5831	3294
639	5839	3284
640	5849	3276
641	5858	3266
642	5868	3257
643	5877	3249
644	5885	3239
645	5894	3230
646	5903	3220
647	5913	3212
648	5921	3202
649	5930	3193
650	5939	3184
651	5948	3174
652	5956	3165
653	5967	3156
654	5979	3149
655	5987	3139
656	5997	3130
657	6005	3121
658	6014	3112
659	6021	3102
660	6030	3092
661	6037	3082
662	6046	3073
663	6056	3064
664	6064	3055
665	6074	3046
666	6081	3035
667	6090	3026
668	6097	3017
669	6107	3008
670	6116	2998
671	6126	2990
672	6136	2981
673	6145	2972
674	6154	2963
675	6163	2953
676	6172	2944
677	6180	2935
678	6189	2926
679	6198	2917
680	6207	2907
681	6216	2898
682	6225	2889
683	6234	2880
684	6242	2870
685	6252	2861
686	6260	2852
687	6269	2843
688	6277	2833
689	6285	2824
690	6293	2814
691	6302	2805
692	6311	2795
693	6322	2787
694	6332	2779
695	6341	2770
696	6353	2761
697	6361	2752
698	6372	2744
699	6382	2735
700	6390	2725
701	6399	2716
702	6407	2706
703	6417	2698
704	6424	2688
705	6433	2679
706	6440	2669
707	6448	2659
708	6456	2650
709	6466	2641
710	6474	2631
711	6483	2622
712	6491	2613
713	6501	2604
714	6511	2595
715	6519	2586
716	6530	2577
717	6537	2567
718	6547	2558
719	6555	2549
720	6565	2540
721	6574	2531
722	6583	2522
723	6592	2513
724	6600	2503
725	6610	2494
726	6618	2485
727	6627	2476
728	6636	2467
729	6648	2459
730	6659	2450
731	6669	2441
732	6678	2432
733	6686	2423
734	6695	2414
735	6704	2404
736	6712	2395
737	6719	2385
738	6728	2376
739	6738	2367
740	6747	2358
741	6756	2349
742	6764	2339
743	6772	2330
744	6781	2321
745	6790	2311
746	6798	2302
747	6808	2293
748	6816	2284
749	6825	2275
750	6834	2266
751	6843	2256
752	6852	2247
753	6860	2238
754	6869	2229
755	6876	2219
756	6885	2210
757	6892	2200
758	6902	2191
759	6910	2182
760	6921	2173
761	6928	2164
762	6938	2155
763	6947	2145
764	6956	2137
765	6966	2128
766	6974	2118
767	6983	2109
768	6991	2100
769	7000	2091
770	7008	2081
771	7017	2072
772	7025	2063
773	7034	2053
774	7041	2044
775	7050	2035
776	7059	2025
777	7068	2017
778	7077	2007
779	7086	1998
780	7095	1989
781	7104	1980
782	7114	1971
783	7123	1962
784	7133	1953
785	7141	1944
786	7150	1935
787	7157	1925
788	7166	1916
789	7174	1907
790	7183	1898
791	7192	1888
792	7201	1879
793	7210	1870
794	7217	1861
795	7226	1851
796	7234	1842
797	7243	1833
798	7252	1824
799	7261	1815
800	7270	1806
801	7278	1797
802	7286	1787
803	7295	1778
804	7303	1769
805	7312	1760
806	7323	1751
807	7332	1742
808	7343	1733
809	7352	1724
810	7362	1715
811	7372	1706
812	7427	1708
813	7436	1699
814	7444	1689
815	7454	1680
816	7461	1671
817	7473	1662
818	7492	1655
819	7501	1646
820	7509	1637
821	7519	1628
822	7526	1618
823	7535	1609
824	7542	1599
825	7552	1590
826	7560	1581
827	7569	1572
828	7577	1562
829	7586	1553
830	7594	1544
831	7604	1535
832	7612	1526
833	7623	1517
834	7632	1508
835	7639	1498
836	7648	1489
837	7657	1480
838	7666	1471
839	7674	1461
840	7684	1452
841	7691	1443
842	7701	1434
843	7709	1425
844	7719	1415
845	7727	1406
846	7736	1397
847	7743	1388
848	7752	1378
849	7760	1369
850	7768	1360
851	7776	1350
852	7784	1341
853	7794	1332
854	7802	1323
855	7812	1314
856	7820	1304
857	7829	1295
858	7837	1286
859	7847	1277
860	7856	1268
861	7865	1259
862	7874	1250
863	7882	1240
864	7891	1231
865	7899	1222
866	7911	1213
867	7919	1204
868	7931	1195
869	7941	1186
870	7949	1177
871	7961	1168
872	7969	1159
873	7980	1150
874	7990	1141
875	7997	1132
876	8007	1123
877	8015	1113
878	8028	1105
879	8038	1096
880	8047	1087
881	8058	1078
882	8066	1068
883	8076	1059
884	8087	1050
885	8097	1041
886	8108	1032
887	8116	1023
888	8126	1014
889	8137	1005
890	8146	996
891	8157	987
892	8163	978
893	8175	969
894	8186	960
895	8196	951
896	8206	942
897	8215	933
898	8224	924
899	8235	915
900	8243	905
901	8253	896
902	8260	887
903	8272	878
904	8280	869
905	8289	860
906	8299	850
907	8307	841
908	8316	832
909	8324	823
910	8334	814
911	8342	804
912	8351	795
913	8359	786
914	8369	777
915	8378	768
916	8387	759
917	8396	750
918	8404	740
919	8413	731
920	8421	722
921	8430	713
922	8438	703
923	8447	694
924	8455	685
925	8465	676
926	8474	667
927	8482	658
928	8491	648
929	8499	639
930	8509	630
931	8516	621
932	8525	612
933	8533	602
934	8542	593
935	8549	584
936	8559	575
937	8567	566
938	8579	557
939	8587	548
940	8596	539
941	8605	529
942	8613	520
943	8623	511
944	8630	502
945	8640	493
946	8648	484
947	8657	474
948	8665	465
949	8675	456
950	8683	447
951	8692	438
952	8700	429
953	8710	419
954	8718	410
955	8726	401
956	8735	392
957	8743	383
958	8752	374
959	8761	365
960	8770	355
961	8778	346
962	8788	337
963	8797	328
964	8806	319
965	8817	310
966	8825	301
967	8835	292
968	8844	282
969	8854	273
970	8862	264
971	8870	255
972	8877	246
973	8887	237
974	8896	228
975	8904	218
976	8914	209
977	8922	200
978	8932	191
979	8940	182
980	8949	173
981	8958	164
982	8967	155
983	8975	145
984	8985	136
985	8994	127
986	9002	118
987	9012	109
988	9020	100
989	9029	91
990	9038	82
991	9048	72
992	9058	63
993	9067	54
994	9076	45
995	9085	36
996	9096	27
997	9103	18
998	9113	9
999	9121	0
