iter	MultiClass
212	0.896883977
213	0.8968368186
214	0.8967749393
215	0.8966851978
216	0.8966248341
217	0.8965410385
218	0.8964668213
219	0.896399149
220	0.8963510606
221	0.8962958806
222	0.8961998907
223	0.8961278588
224	0.8960761158
225	0.896023691
226	0.8959897859
227	0.8958996335
228	0.8958268299
229	0.8957741224
230	0.895708274
231	0.8956776856
232	0.8956191622
233	0.8955672131
234	0.8954821199
235	0.8954552237
236	0.8953916359
237	0.8953618301
238	0.8953073881
239	0.8952482817
240	0.8951464044
241	0.8950973042
242	0.89502415
243	0.8949626092
244	0.8949132418
245	0.8948673025
246	0.8948186123
247	0.8947610786
248	0.8946964333
249	0.894632858
250	0.8945699769
251	0.8945157371
252	0.894440028
253	0.8943907801
254	0.8943460961
255	0.8943044035
256	0.8942344914
257	0.894176827
258	0.8941352159
259	0.8940590302
260	0.8940113799
261	0.8939458543
262	0.8939062541
263	0.8938204632
264	0.8937629338
265	0.8937107993
266	0.8936675911
267	0.8936201212
268	0.8935795603
269	0.8935125769
270	0.8934716055
271	0.8933974277
272	0.8933615121
273	0.8933168449
274	0.8932599574
275	0.8932141513
276	0.8931644902
277	0.8931326535
278	0.8930916937
279	0.893040069
280	0.8929701656
281	0.8929208737
282	0.8928585809
283	0.8927788545
284	0.8927123018
285	0.8926824948
286	0.8925833165
287	0.8925079423
288	0.8924688225
289	0.8924069709
290	0.8923904565
291	0.8923385612
292	0.8923051585
293	0.892258681
294	0.8922199317
295	0.8921731672
296	0.892102369
297	0.8920438789
298	0.8920000394
299	0.8919415012
300	0.8918967128
301	0.8918704104
302	0.8918025646
303	0.8917439234
304	0.891703406
305	0.8916778448
306	0.8916401042
307	0.8915750219
308	0.8915306953
309	0.8914646781
310	0.8913939902
311	0.8913710674
312	0.8913361229
313	0.8912784573
314	0.8912207208
315	0.891184507
316	0.8911287053
317	0.8910733559
318	0.8910241834
319	0.8909872917
320	0.8908888878
321	0.8908513665
322	0.8908239801
323	0.8907898016
324	0.8907475844
325	0.8907140373
326	0.8906574923
327	0.8906026762
328	0.8905627418
329	0.8905332524
330	0.8904500268
331	0.890410769
332	0.8903623391
333	0.8903036134
334	0.8902430559
335	0.8902012233
336	0.890153582
337	0.8900776629
338	0.8900391198
339	0.8899847023
340	0.8899417852
341	0.889894494
342	0.8898572378
343	0.8898188734
344	0.8897731963
345	0.8897422831
346	0.8896870538
347	0.8896471652
348	0.8895845021
349	0.8895440213
350	0.8894764467
351	0.8894431601
352	0.8894211261
353	0.8893936562
354	0.8893391791
355	0.8893077569
356	0.8892346549
357	0.8892143908
358	0.8891363185
359	0.8890883478
360	0.8890676037
361	0.8890334534
362	0.8889937475
363	0.8889564799
364	0.8889228339
365	0.8888943668
366	0.8888615548
367	0.8888371082
368	0.8888183318
369	0.8887791054
370	0.8887547564
371	0.8887255924
372	0.8886751247
373	0.8886445477
374	0.8886051266
375	0.8885782348
376	0.8885329889
377	0.88850583
378	0.8884606205
379	0.8884437591
380	0.8884001924
381	0.8883516121
382	0.8883317428
383	0.8883007856
384	0.888261061
385	0.8882340763
386	0.8882071288
387	0.8881557077
388	0.8881313655
389	0.888103523
390	0.8880620105
391	0.8880437919
392	0.8879688842
393	0.8879308834
394	0.8878967354
395	0.8878622972
396	0.8878254527
397	0.8877971276
398	0.8877626004
399	0.8877266016
400	0.887674557
401	0.8876325518
402	0.8876113418
403	0.8875880601
404	0.887555138
405	0.8875274931
406	0.8874763836
407	0.8874371065
408	0.8873947242
409	0.8873592841
410	0.8873072233
411	0.8872488477
412	0.8872009122
413	0.8871627814
414	0.8871390558
415	0.8871019128
416	0.8870665553
417	0.8870463679
418	0.8870195956
419	0.8869806326
420	0.8869527561
421	0.8869291997
422	0.886890718
423	0.8868625514
424	0.8868254998
425	0.8868008674
426	0.886757591
427	0.8867167804
428	0.8866879863
429	0.8866552141
430	0.8866086897
431	0.8865807694
432	0.8865541252
433	0.8865286894
434	0.8864900626
435	0.886461035
436	0.8864285175
437	0.8863699614
438	0.886326927
439	0.8862889874
440	0.8862555922
441	0.8862034401
442	0.886166144
443	0.8860833485
444	0.8860680081
445	0.8860369771
446	0.885995118
447	0.8859448916
448	0.8859158046
449	0.885880858
450	0.8858476044
451	0.8858154027
452	0.8857728718
453	0.8857420139
454	0.8856845898
455	0.8856481327
456	0.8856219858
457	0.8855892374
458	0.8855550892
459	0.8855038706
460	0.8854828132
461	0.8854189905
462	0.8853984153
463	0.8853364102
464	0.8853110867
465	0.8852835668
466	0.8852459855
467	0.8852046664
468	0.8851632309
469	0.88511704
470	0.8850947305
471	0.8850679416
472	0.8850243936
473	0.884974429
474	0.8849294784
475	0.884897758
476	0.8848358666
477	0.8848169157
478	0.884786368
479	0.8847684674
480	0.8847352118
481	0.8846954872
482	0.8846670644
483	0.884633802
484	0.8845855446
485	0.8845554656
486	0.8845166846
487	0.8844936805
488	0.884448603
489	0.8844319407
490	0.8844144691
491	0.884401443
492	0.8843653175
493	0.8843401195
494	0.8843075936
495	0.8842779976
496	0.8842538978
497	0.8842111038
498	0.8841809044
499	0.8841237036
500	0.8840696764
501	0.8840282908
502	0.8839955909
503	0.8839403167
504	0.8839077625
505	0.8838616257
506	0.8838285061
507	0.8838070433
508	0.8837730059
509	0.8837359297
510	0.8837144692
511	0.8836875794
512	0.8836635174
513	0.8836242293
514	0.8835955032
515	0.8835684073
516	0.8835316776
517	0.8834914885
518	0.8834626488
519	0.8834194754
520	0.8833988489
521	0.8833685992
522	0.8833384021
523	0.8832886032
524	0.8832530894
525	0.8832079139
526	0.8831968242
527	0.8831632795
528	0.8831293297
529	0.8831022959
530	0.8830783907
531	0.8830525618
532	0.8830082878
533	0.8829777914
534	0.8829624082
535	0.8829411514
536	0.8829193062
537	0.8828754408
538	0.8828518041
539	0.8828358697
540	0.882821172
541	0.8828176412
542	0.8827995028
543	0.8827617644
544	0.8827255478
545	0.8826852305
546	0.8826582284
547	0.8826360476
548	0.8826100106
549	0.8825565099
550	0.8825297844
551	0.8825073419
552	0.8824846081
553	0.8824600908
554	0.8824446905
555	0.8824186904
556	0.8823967025
557	0.8823667515
558	0.8823375543
559	0.8822945329
560	0.8822664039
561	0.8822403471
562	0.8822031987
563	0.8821699707
564	0.8821311574
565	0.8821133199
566	0.8820815497
567	0.8820568546
568	0.8820271251
569	0.8819582567
570	0.8819489896
571	0.8819329966
572	0.8818913964
573	0.8818680038
574	0.8818423191
575	0.8818109227
576	0.8817930263
577	0.8817573944
578	0.8817219584
579	0.8817072292
580	0.8816895686
581	0.881668264
582	0.881639548
583	0.8816130847
584	0.8815934096
585	0.8815681557
586	0.881551227
587	0.8815203538
588	0.8814947219
589	0.8814568738
590	0.8814184431
591	0.8813989394
592	0.88135504
593	0.8813176067
594	0.8812838383
595	0.8812554484
596	0.8812304063
597	0.8811850142
598	0.8811626895
599	0.8811348104
600	0.8811091756
601	0.8810763863
602	0.881050061
603	0.8810260355
604	0.880982364
605	0.880939283
606	0.8809149983
607	0.8808728108
608	0.8808511762
609	0.8808289251
610	0.8808042798
611	0.8807575575
612	0.8807164517
613	0.8806763234
614	0.8806615193
615	0.8806070035
616	0.8805552997
617	0.8805248018
618	0.8805098629
619	0.8804761243
620	0.8804609017
621	0.8804190506
622	0.8803937763
623	0.8803694662
624	0.8803393712
625	0.8803180729
626	0.8802955902
627	0.8802587195
628	0.8802367865
629	0.8802212243
630	0.8802061381
631	0.8801861477
632	0.8801704325
633	0.8801518111
634	0.8801343162
635	0.8801241737
636	0.8800833801
637	0.8800570709
638	0.88003625
639	0.880009981
640	0.8799736455
641	0.8799371122
642	0.8799091874
643	0.8798802382
644	0.87983451
645	0.8798156563
646	0.8797728257
647	0.8797328827
648	0.8797150518
649	0.8796755173
650	0.8796176756
651	0.8796000049
652	0.8795817762
653	0.8795512636
654	0.8795360327
655	0.8795172807
656	0.8794995237
657	0.8794886584
658	0.8794628727
659	0.879437643
660	0.8794145531
661	0.8793840012
662	0.8793568593
663	0.8793346872
664	0.8793139655
665	0.8793040571
666	0.8792806965
667	0.8792299349
668	0.8792113774
669	0.8791851921
670	0.8791689171
671	0.8791309768
672	0.8791039744
673	0.879063471
674	0.879019664
675	0.8789981495
676	0.8789771268
677	0.8789607099
678	0.878933841
679	0.8788901711
680	0.878877353
681	0.8788554981
682	0.8788370709
683	0.8787953097
684	0.878763634
685	0.8787467675
686	0.8787191974
687	0.8786955586
688	0.8786776201
689	0.8786551957
690	0.8786060595
691	0.8785913358
692	0.8785649776
693	0.8785455473
694	0.8784931213
695	0.8784721454
696	0.8784388102
697	0.8784213718
698	0.8783826369
699	0.8783591448
700	0.8783233192
701	0.8782850666
702	0.878266769
703	0.8782470895
704	0.8782229976
705	0.878201803
706	0.8781907379
707	0.8781752167
708	0.8781568936
709	0.878134955
710	0.878108892
711	0.8780913468
712	0.8780606547
713	0.8780270351
714	0.8780205065
715	0.8780049228
716	0.8779810495
717	0.8779501066
718	0.8779237174
719	0.8778983257
720	0.8778805349
721	0.8778352568
722	0.8777950959
723	0.8777745252
724	0.8777495593
725	0.8777013216
726	0.8776719126
727	0.8776449392
728	0.8776192556
729	0.8775959987
730	0.8775820553
731	0.8775457154
732	0.877529441
733	0.8775035914
734	0.8774918281
735	0.8774772688
736	0.8774587282
737	0.8774402939
738	0.8774276899
739	0.8773913167
740	0.8773579388
741	0.8773254381
742	0.8772781328
743	0.8772248452
744	0.8771939303
745	0.8771789281
746	0.8771473608
747	0.8771111809
748	0.8770963015
749	0.8770831093
750	0.8770646934
751	0.8770524644
752	0.8770449537
753	0.8770132895
754	0.8770025548
755	0.8769796854
756	0.8769565919
757	0.8769449374
758	0.8769160869
759	0.8768827053
760	0.8768558313
761	0.8768259102
762	0.8768009411
763	0.8767903467
764	0.8767665512
765	0.8767342084
766	0.8767067303
767	0.8766794109
768	0.8766628449
769	0.8766402575
770	0.8766194582
771	0.8765884858
772	0.8765753934
773	0.8765546945
774	0.8765294029
775	0.8765014286
776	0.8764885296
777	0.8764565652
778	0.87643838
779	0.8764144238
780	0.8763893825
781	0.8763711112
782	0.8763461927
783	0.8763126254
784	0.8762856771
785	0.8762530467
786	0.8762353501
787	0.8762126618
788	0.8761837768
789	0.8761693929
790	0.876153659
791	0.8761405734
792	0.8761187403
793	0.8761088855
794	0.8760898466
795	0.8760756151
796	0.8760533105
797	0.8760383825
798	0.8760219444
799	0.8760075427
800	0.875999061
801	0.8759806648
802	0.875965328
803	0.875958652
804	0.8759372098
805	0.8759228643
806	0.8758984782
807	0.8758596205
808	0.8758469156
809	0.8758294565
810	0.875805716
811	0.8757814078
812	0.8757692803
813	0.8757544383
814	0.8757265867
815	0.8757136607
816	0.875681786
817	0.8756449516
818	0.8756353088
819	0.8756108011
820	0.8755949752
821	0.87557195
822	0.8755570445
823	0.8755311666
824	0.8755062717
825	0.8754852392
826	0.8754677847
827	0.8754573345
828	0.8754505128
829	0.8754266318
830	0.875382958
831	0.8753490455
832	0.8753346284
833	0.8752918724
834	0.8752622104
835	0.8752346557
836	0.8752206957
837	0.8751978391
838	0.8751892412
839	0.8751794142
840	0.8751686584
841	0.8751574193
842	0.8751404681
843	0.8751246705
844	0.8750954336
845	0.8750653625
846	0.8750325328
847	0.8750149386
848	0.8749916628
849	0.8749695656
850	0.8749526795
851	0.874936574
852	0.8749034218
853	0.8748850572
854	0.874873207
855	0.8748537502
856	0.874837263
857	0.874822447
858	0.8748051131
859	0.874782448
860	0.8747563267
861	0.8747358134
862	0.8747103882
863	0.8746964782
864	0.8746841865
865	0.8746702917
866	0.8746547593
867	0.8746404012
868	0.8746053282
869	0.8745777067
870	0.8745670341
871	0.8745548774
872	0.8745442443
873	0.8745180849
874	0.874504868
875	0.8744870995
876	0.8744584728
877	0.8744449101
878	0.87441278
879	0.8743995593
880	0.8743714944
881	0.8743449198
882	0.8743301705
883	0.8743139261
884	0.8742901966
885	0.8742542902
886	0.8742323538
887	0.8742204494
888	0.8742098088
889	0.8742003621
890	0.8741827509
891	0.8741711798
892	0.8741390473
893	0.8741218043
894	0.8740987621
895	0.8740892831
896	0.8740739998
897	0.8740611892
898	0.874044964
899	0.8740061635
900	0.8739744492
901	0.8739644306
902	0.8739420978
903	0.8739304579
904	0.8739113836
905	0.8738958563
906	0.8738685324
907	0.8738465697
908	0.87383566
909	0.8738197444
910	0.8738109546
911	0.8737898711
912	0.8737747351
913	0.8737633862
914	0.8737311608
915	0.8737086966
916	0.8736851301
917	0.8736607821
918	0.8736384536
919	0.8736171206
920	0.8735994374
921	0.8735825071
922	0.8735505185
923	0.8735351583
924	0.8735234311
925	0.873495888
926	0.8734714764
927	0.8734558348
928	0.873444106
929	0.8734300528
930	0.8734140496
931	0.8733909413
932	0.8733817896
933	0.873362085
934	0.8733358807
935	0.8733228341
936	0.8732952963
937	0.8732646559
938	0.8732505412
939	0.8732401963
940	0.8732231844
941	0.8732089274
942	0.873197719
943	0.8731769352
944	0.873167518
945	0.8731512094
946	0.8731341916
947	0.8731123
948	0.873100787
949	0.8730820226
950	0.8730624452
951	0.8730454714
952	0.8730163495
953	0.8730065592
954	0.872994942
955	0.8729615271
956	0.8729463661
957	0.8729341577
958	0.8729119901
959	0.8728943246
960	0.8728755127
961	0.8728599179
962	0.8728453606
963	0.8728234758
964	0.8728073385
965	0.8727930791
966	0.8727603824
967	0.8727516809
968	0.872738192
969	0.872715123
970	0.8726921724
971	0.8726753049
972	0.8726598653
973	0.872639364
974	0.8726295721
975	0.872619489
976	0.8726073311
977	0.8725712635
978	0.872540832
979	0.8725163459
980	0.8724903158
981	0.8724727575
982	0.8724538002
983	0.8724266542
984	0.872408379
985	0.8723914855
986	0.8723638862
987	0.8723457959
988	0.8723360458
989	0.8723160724
990	0.8722859651
991	0.8722715497
992	0.8722557534
993	0.8722393758
994	0.8722247439
995	0.8722042602
996	0.8721635421
997	0.8721498579
998	0.8721366349
999	0.8721020271
